x,y,z
-0.460433,-2.23052,0.332201
-0.450821,-2.23256,0.330648
-0.4412,-2.23455,0.329094
-0.439166,-2.23161,0.334684
-0.42957,-2.23357,0.333007
-0.419966,-2.23548,0.331328
-0.410354,-2.23734,0.329648
-0.407882,-2.23046,0.333784
-0.397952,-2.23032,0.331944
-0.398762,-2.22835,0.327645
-0.398862,-2.22147,0.3223
-0.401088,-2.22245,0.313987
-0.401529,-2.23032,0.318346
-0.403323,-2.22933,0.309882
-0.393672,-2.23111,0.308634
-0.391902,-2.23209,0.316895
-0.382268,-2.23382,0.315443
-0.384014,-2.23284,0.307384
-0.384954,-2.24367,0.311689
-0.375255,-2.24537,0.310329
-0.394645,-2.24194,0.313047
-0.389181,-2.23012,0.325971
-0.38838,-2.23209,0.330166
-0.38636,-2.22717,0.333979
-0.38443,-2.22323,0.337946
-0.393924,-2.22147,0.339916
-0.395892,-2.2254,0.335851
-0.405416,-2.22359,0.337721
-0.402317,-2.21376,0.341669
-0.399917,-2.20787,0.345689
-0.398966,-2.20983,0.349876
-0.408732,-2.20995,0.352111
-0.410069,-2.20995,0.347899
-0.411772,-2.21191,0.343631
-0.412129,-2.20701,0.33907
-0.421574,-2.20512,0.340925
-0.431011,-2.20319,0.342779
-0.430655,-2.20809,0.347548
-0.440483,-2.20808,0.349583
-0.44044,-2.20122,0.34463
-0.44986,-2.19921,0.346481
-0.451949,-2.20312,0.342008
-0.453426,-2.2041,0.337227
-0.443293,-2.20906,0.340392
-0.434595,-2.21495,0.338767
-0.426046,-2.2218,0.337169
-0.428879,-2.22278,0.327133
-0.429207,-2.21885,0.322532
-0.430248,-2.21885,0.31807
-0.430297,-2.21395,0.313393
-0.439874,-2.21201,0.314632
-0.439832,-2.21691,0.319414
-0.438776,-2.21691,0.323975
-0.448337,-2.21493,0.325417
-0.449407,-2.21493,0.320756
-0.457683,-2.21193,0.326828
-0.463973,-2.20009,0.332832
-0.460391,-2.19032,0.338469
-0.466417,-2.19116,0.354987
-0.47473,-2.19097,0.36204
-0.472533,-2.19488,0.372076
-0.476467,-2.20561,0.367624
-0.475421,-2.21536,0.378054
-0.473297,-2.21341,0.382961
-0.472214,-2.21634,0.388044
-0.462883,-2.2185,0.385489
-0.453542,-2.22061,0.382931
-0.451019,-2.2255,0.392757
-0.448751,-2.22355,0.397422
-0.445662,-2.21964,0.402837
-0.443843,-2.22257,0.408828
-0.440858,-2.21768,0.413085
-0.449992,-2.21557,0.416266
-0.45303,-2.22045,0.411921
-0.456111,-2.22338,0.406192
-0.458018,-2.22143,0.400279
-0.460324,-2.22338,0.395517
-0.46962,-2.22122,0.398275
-0.465341,-2.22122,0.409165
-0.473276,-2.21316,0.411735
-0.482245,-2.20994,0.414628
-0.477614,-2.21316,0.40066
-0.473302,-2.20244,0.405023
-0.464325,-2.20561,0.402253
-0.46765,-2.20366,0.39228
-0.458399,-2.2058,0.38964
-0.449139,-2.20791,0.386999
-0.439471,-2.20801,0.384245
-0.440586,-2.20508,0.379421
-0.431301,-2.2071,0.376878
-0.428636,-2.2022,0.381171
-0.426334,-2.19926,0.385499
-0.41713,-2.20123,0.382769
-0.418817,-2.20123,0.378377
-0.409577,-2.20316,0.375741
-0.407918,-2.20316,0.380036
-0.406006,-2.20218,0.38431
-0.403151,-2.19825,0.389206
-0.393473,-2.19719,0.386094
-0.384344,-2.19902,0.383153
-0.382715,-2.20197,0.388322
-0.381124,-2.20295,0.392343
-0.372042,-2.20475,0.389181
-0.373605,-2.20377,0.385255
-0.375207,-2.20082,0.38021
-0.375291,-2.19,0.37488
-0.384419,-2.18821,0.377694
-0.393539,-2.18639,0.380505
-0.39888,-2.20602,0.377353
-0.400879,-2.20799,0.373253
-0.390006,-2.20983,0.374717
-0.391968,-2.2118,0.370708
-0.380758,-2.21163,0.371974
-0.383384,-2.21753,0.368251
-0.386163,-2.22442,0.364502
-0.387293,-2.22245,0.360388
-0.387872,-2.21753,0.356077
-0.388909,-2.21557,0.351965
-0.389386,-2.21065,0.347681
-0.390502,-2.20967,0.343632
-0.380905,-2.21044,0.341537
-0.379115,-2.20749,0.345337
-0.369723,-2.2092,0.343183
-0.371648,-2.21314,0.339513
-0.374079,-2.22004,0.33581
-0.376756,-2.22201,0.328032
-0.378396,-2.22496,0.324101
-0.379367,-2.22299,0.319156
-0.388939,-2.22127,0.320701
-0.36833,-2.22369,0.322348
-0.366722,-2.22073,0.326174
-0.366942,-2.22862,0.33017
-0.365252,-2.22566,0.333971
-0.362871,-2.21876,0.337587
-0.361313,-2.21679,0.341242
-0.358703,-2.21679,0.348758
-0.357486,-2.21777,0.352582
-0.355761,-2.2158,0.356208
-0.355437,-2.2227,0.360281
-0.35297,-2.21679,0.363732
-0.343693,-2.21842,0.360981
-0.346433,-2.21743,0.353655
-0.348123,-2.21941,0.350123
-0.34804,-2.21053,0.346094
-0.349489,-2.21152,0.342514
-0.34026,-2.21409,0.340294
-0.339928,-2.22001,0.344039
-0.338753,-2.221,0.347662
-0.337407,-2.221,0.35118
-0.33677,-2.22593,0.354957
-0.334409,-2.22001,0.358227
-0.32437,-2.21662,0.355261
-0.315094,-2.21813,0.35251
-0.3172,-2.22307,0.349389
-0.321126,-2.22307,0.339313
-0.33053,-2.22156,0.341677
-0.329377,-2.22255,0.3452
-0.329262,-2.23045,0.348933
-0.327577,-2.22848,0.352334
-0.325752,-2.23539,0.359537
-0.33507,-2.23383,0.362408
-0.33217,-2.22692,0.366309
-0.330082,-2.22593,0.370577
-0.327591,-2.22001,0.37369
-0.325051,-2.21409,0.376808
-0.334138,-2.2125,0.380079
-0.332432,-2.2125,0.383593
-0.330874,-2.21349,0.387083
-0.328785,-2.21152,0.390448
-0.326981,-2.21152,0.393886
-0.32535,-2.2125,0.397259
-0.336225,-2.21186,0.397654
-0.334248,-2.21087,0.400995
-0.338227,-2.21284,0.39418
-0.339888,-2.21186,0.390542
-0.34227,-2.2158,0.387241
-0.343218,-2.21087,0.383347
-0.345554,-2.21482,0.379948
-0.346874,-2.21284,0.37625
-0.35001,-2.21974,0.372064
-0.35906,-2.21708,0.374981
-0.361822,-2.22201,0.370668
-0.362739,-2.21807,0.366623
-0.36476,-2.22102,0.362939
-0.365417,-2.2161,0.358848
-0.368585,-2.21807,0.351235
-0.36852,-2.22594,0.355458
-0.37791,-2.22422,0.357924
-0.378485,-2.2193,0.353717
-0.375426,-2.21831,0.361579
-0.374076,-2.2193,0.365596
-0.370914,-2.2193,0.373472
-0.371502,-2.21339,0.369228
-0.367756,-2.21241,0.377789
-0.364488,-2.20552,0.382187
-0.362953,-2.2065,0.386017
-0.362864,-2.21635,0.3904
-0.361381,-2.21831,0.394336
-0.358726,-2.21339,0.39776
-0.357161,-2.21536,0.401663
-0.354907,-2.21339,0.405267
-0.352679,-2.21143,0.408728
-0.363846,-2.21163,0.408915
-0.361572,-2.20967,0.412463
-0.372604,-2.20885,0.412491
-0.375122,-2.2118,0.408774
-0.376745,-2.20983,0.404675
-0.379511,-2.21474,0.401079
-0.37045,-2.21655,0.397709
-0.37196,-2.21458,0.393674
-0.367739,-2.21163,0.401219
-0.366145,-2.2136,0.40522
-0.34378,-2.21314,0.40499
-0.345962,-2.21511,0.401616
-0.347201,-2.21117,0.397733
-0.348895,-2.21019,0.393998
-0.352306,-2.22004,0.390961
-0.353762,-2.21807,0.387123
-0.354185,-2.21019,0.38296
-0.355693,-2.2092,0.379222
-0.336736,-2.21842,0.376874
-0.339284,-2.22434,0.373674
-0.341101,-2.22335,0.36919
-0.343908,-2.22927,0.365138
-0.353201,-2.22763,0.368002
-0.346107,-2.22434,0.35762
-0.352845,-2.22434,0.339289
-0.353409,-2.22039,0.33552
-0.355256,-2.22434,0.331904
-0.357191,-2.22237,0.324405
-0.35812,-2.22138,0.320572
-0.358738,-2.21743,0.315844
-0.360698,-2.22335,0.31222
-0.36239,-2.22237,0.304616
-0.35261,-2.22297,0.303353
-0.35266,-2.2289,0.307204
-0.350626,-2.22199,0.310708
-0.349183,-2.21902,0.314301
-0.3492,-2.22692,0.319006
-0.347654,-2.22396,0.322634
-0.345749,-2.22593,0.329932
-0.343941,-2.22199,0.333452
-0.343538,-2.22692,0.337153
-0.334672,-2.23243,0.335112
-0.335686,-2.23144,0.331632
-0.336694,-2.23045,0.328048
-0.338591,-2.23539,0.3246
-0.338417,-2.22749,0.320914
-0.339625,-2.22848,0.317333
-0.341316,-2.23144,0.313008
-0.341036,-2.22354,0.309263
-0.341944,-2.22354,0.305717
-0.342988,-2.22452,0.302108
-0.333358,-2.22603,0.300863
-0.323722,-2.2275,0.299617
-0.31408,-2.22892,0.29837
-0.30346,-2.22932,0.300326
-0.301924,-2.22436,0.303379
-0.291925,-2.22273,0.301879
-0.292759,-2.22273,0.298843
-0.282332,-2.22402,0.300433
-0.272733,-2.22527,0.298987
-0.27466,-2.2342,0.29629
-0.275203,-2.23221,0.293349
-0.284311,-2.23294,0.297642
-0.294778,-2.23165,0.295875
-0.305395,-2.23724,0.297233
-0.302816,-2.23724,0.306794
-0.31245,-2.23585,0.308349
-0.322224,-2.23541,0.309925
-0.321327,-2.23739,0.314124
-0.320307,-2.23739,0.317537
-0.319356,-2.24531,0.324428
-0.30976,-2.24674,0.322438
-0.308254,-2.25169,0.329026
-0.310199,-2.25763,0.32602
-0.312237,-2.25664,0.319392
-0.321896,-2.2552,0.321288
-0.31982,-2.25619,0.328121
-0.317828,-2.25025,0.33122
-0.327395,-2.24877,0.333413
-0.329434,-2.2547,0.330221
-0.331549,-2.25371,0.323183
-0.329305,-2.23197,0.319216
-0.330193,-2.23098,0.315683
-0.33185,-2.23394,0.311478
-0.330689,-2.2201,0.307713
-0.331131,-2.21714,0.304219
-0.321255,-2.21662,0.302839
-0.321107,-2.22157,0.306269
-0.311377,-2.222,0.304805
-0.311957,-2.22002,0.301533
-0.312412,-2.24377,0.312556
-0.303858,-2.25308,0.311046
-0.294171,-2.25444,0.309354
-0.293574,-2.24155,0.305297
-0.291484,-2.24155,0.312186
-0.281865,-2.24286,0.3104
-0.284224,-2.24354,0.333316
-0.274753,-2.24484,0.33083
-0.275974,-2.26368,0.334296
-0.266445,-2.26495,0.331688
-0.255853,-2.25725,0.328809
-0.246351,-2.25843,0.326208
-0.236844,-2.25956,0.323607
-0.233653,-2.26155,0.331133
-0.22422,-2.26265,0.328227
-0.227332,-2.26066,0.321004
-0.217815,-2.26171,0.3184
-0.214782,-2.2637,0.32532
-0.214789,-2.25276,0.322727
-0.224211,-2.25171,0.32552
-0.233629,-2.25062,0.328312
-0.229966,-2.24068,0.333398
-0.220657,-2.24177,0.330401
-0.211344,-2.24281,0.327403
-0.217292,-2.23481,0.335301
-0.2265,-2.23373,0.338505
-0.235702,-2.2326,0.341708
-0.2449,-2.23144,0.344909
-0.254093,-2.23023,0.348109
-0.251428,-2.21932,0.350324
-0.249448,-2.21435,0.352758
-0.247235,-2.20741,0.355032
-0.23824,-2.20861,0.351581
-0.240389,-2.21556,0.34939
-0.242314,-2.22052,0.347044
-0.242604,-2.20067,0.341223
-0.243236,-2.19272,0.337769
-0.234126,-2.19387,0.334835
-0.2335,-2.20182,0.33816
-0.237751,-2.20281,0.329632
